name,position,nationality,age,height,weight,club,club_nationality,club-league
sergio-azurdia,Defender,guatemala,30,173,76,coban-imperial,guatemala,1-division
jorge-sotomayor,Defender,argentina,31,-,-,coban-imperial,guatemala,1-division
yeltsin-alvarez,Defender,guatemala,25,-,-,coban-imperial,guatemala,1-division
tomas-castillo,Defender,guatemala,25,-,-,coban-imperial,guatemala,1-division
byron-leal,Midtfielder,guatemala,25,171,73,coban-imperial,guatemala,1-division
janderson-pereira,Midtfielder,brasilien,30,-,-,coban-imperial,guatemala,1-division
mario-pineyro,Midtfielder,uruguay,39,171,65,coban-imperial,guatemala,1-division
josue-flores,Midtfielder,el-salvador,31,173,67,coban-imperial,guatemala,1-division
enrique-klug,Midtfielder,guatemala,29,167,64,coban-imperial,guatemala,1-division
jorge-tello,Midtfielder,guatemala,29,167,64,coban-imperial,guatemala,1-division
mynor-pop,Midtfielder,guatemala,29,167,64,coban-imperial,guatemala,1-division
roger-bastos,Midtfielder,brasilien,29,-,-,coban-imperial,guatemala,1-division
yonathan-moran,Midtfielder,brasilien,29,-,-,coban-imperial,guatemala,1-division
angel-cabrera,Midtfielder,guatemala,23,-,-,coban-imperial,guatemala,1-division
jeffry-oliva,Midtfielder,guatemala,29,175,73,coban-imperial,guatemala,1-division
nery-oliva,Midtfielder,guatemala,29,175,73,coban-imperial,guatemala,1-division
victor-solalinde,Midtfielder,guatemala,32,170,72,coban-imperial,guatemala,1-division
victor-guay,Midtfielder,guadeloupe,25,172,78,coban-imperial,guatemala,1-division
gerson-tinoco,Attacker,guatemala,31,186,74,coban-imperial,guatemala,1-division
ignacio-flores,Attacker,uruguay,29,182,77,coban-imperial,guatemala,1-division
henry-lopez,Attacker,guatemala,27,-,-,coban-imperial,guatemala,1-division
josue-mitchell,Attacker,costa-rica,30,192,83,coban-imperial,guatemala,1-division
lauro-ramon-cazal,Attacker,paraguay,33,188,84,coban-imperial,guatemala,1-division
jonathan-sebastian-charquero,Attacker,uruguay,30,-,-,coban-imperial,guatemala,1-division
john-cordoba,Attacker,colombia,32,182,69,coban-imperial,guatemala,1-division
herberth-morales,Attacker,guatemala,27,183,70,coban-imperial,guatemala,1-division
edin-rivas,Attacker,guatemala,19,-,-,coban-imperial,guatemala,1-division
cesar-verdera,Attacker,argentina,32,-,-,coban-imperial,guatemala,1-division
bernardo-long,Goalkeeper,uruguay,30,-,-,guastatoya,guatemala,1-division
erwin-rodriguez,Goalkeeper,uruguay,30,-,-,guastatoya,guatemala,1-division
jonathan-davila,Goalkeeper,guatemala,26,185,68,guastatoya,guatemala,1-division
jose-calderon,Goalkeeper,panama,34,187,87,guastatoya,guatemala,1-division
omar-dominguez,Defender,mexico,31,177,70,guastatoya,guatemala,1-division
manuel-lopez,Defender,guatemala,29,178,70,guastatoya,guatemala,1-division
brandon-de-leon,Defender,guatemala,25,170,66,guastatoya,guatemala,1-division
ruben-morales,Defender,guatemala,32,-,-,guastatoya,guatemala,1-division
wilson-pineda,Defender,guatemala,26,-,-,guastatoya,guatemala,1-division
aaron-navarro,Defender,costa-rica,32,-,-,guastatoya,guatemala,1-division
mario-calderon,Defender,costa-rica,32,-,-,guastatoya,guatemala,1-division
mario-vasquez,Defender,guatemala,31,169,72,guastatoya,guatemala,1-division
carlos-granados,Defender,guatemala,32,170,72,guastatoya,guatemala,1-division
victor-osorio,Defender,chile,35,-,-,guastatoya,guatemala,1-division
jorge-aparicio,Midtfielder,guatemala,26,-,-,guastatoya,guatemala,1-division
dany-lopez,Midtfielder,guatemala,26,-,-,guastatoya,guatemala,1-division
cristian-reyes,Midtfielder,guatemala,26,-,-,guastatoya,guatemala,1-division
fredy-orellana,Midtfielder,guatemala,26,-,-,guastatoya,guatemala,1-division
kevin-norales,Midtfielder,guatemala,27,161,61,guastatoya,guatemala,1-division
osmar-lopez,Midtfielder,guatemala,32,180,75,guastatoya,guatemala,1-division
isaac-acuna,Midtfielder,mexico,30,186,82,guastatoya,guatemala,1-division
edgar-chub,Midtfielder,mexico,30,186,82,guastatoya,guatemala,1-division
atadeo-quinonez,Midtfielder,mexico,30,186,82,guastatoya,guatemala,1-division
francisco-llamas,Midtfielder,mexico,30,186,82,guastatoya,guatemala,1-division
josue-bol,Midtfielder,mexico,30,186,82,guastatoya,guatemala,1-division
jose-marquez,Midtfielder,guatemala,31,179,70,guastatoya,guatemala,1-division
samuel-garrido,Midtfielder,guatemala,31,179,70,guastatoya,guatemala,1-division
jose-corena,Midtfielder,colombia,27,177,75,guastatoya,guatemala,1-division
darren-mitchell,Midtfielder,tobago,29,-,-,guastatoya,guatemala,1-division
jose-aldana,Midtfielder,tobago,29,-,-,guastatoya,guatemala,1-division
erick-orellana,Midtfielder,tobago,29,-,-,guastatoya,guatemala,1-division
jorge-gatgens,Midtfielder,costa-rica,31,178,65,guastatoya,guatemala,1-division
luis-sanchez,Attacker,costa-rica,31,178,65,guastatoya,guatemala,1-division
daniel-guzman,Attacker,mexico,27,-,-,guastatoya,guatemala,1-division
emmanuel-tapia,Attacker,mexico,30,-,-,guastatoya,guatemala,1-division
luis-landin,Attacker,mexico,34,182,73,guastatoya,guatemala,1-division
gerson-lima,Attacker,guatemala,27,178,72,guastatoya,guatemala,1-division
henry-suazo,Attacker,guatemala,37,176,73,guastatoya,guatemala,1-division
nelson-miranda,Attacker,guatemala,28,175,68,guastatoya,guatemala,1-division
walter-wasinger,Attacker,argentina,30,166,60,guastatoya,guatemala,1-division
kevin-bordon,Attacker,guatemala,24,-,-,guastatoya,guatemala,1-division
fredy-carrillo,Attacker,guatemala,24,-,-,guastatoya,guatemala,1-division
osman-reyes,Attacker,guatemala,24,-,-,guastatoya,guatemala,1-division
gabriel-garcete,Attacker,paraguay,37,-,-,guastatoya,guatemala,1-division
nicolas-kissner,Attacker,argentina,31,-,-,guastatoya,guatemala,1-division
luis-martinez,Attacker,guatemala,27,172,60,guastatoya,guatemala,1-division
cristopher-ramirez,Attacker,guatemala,25,-,-,guastatoya,guatemala,1-division
kendell-herrarte,Attacker,guatemala,27,-,-,guastatoya,guatemala,1-division
didier-sagastume,Defender,guatemala,29,173,67,sanarate,guatemala,1-division
juan-manuel-lovato,Defender,argentina,31,-,-,sanarate,guatemala,1-division
allan-ortiz,Defender,argentina,31,-,-,sanarate,guatemala,1-division
wilson-lalin,Defender,guatemala,34,-,-,sanarate,guatemala,1-division
kevin-avila,Midtfielder,guatemala,25,-,-,sanarate,guatemala,1-division
edwin-chacon,Midtfielder,guatemala,35,182,73,sanarate,guatemala,1-division
pedro-altan,Midtfielder,guatemala,22,-,-,sanarate,guatemala,1-division
sergio-tagua,Midtfielder,guatemala,24,-,-,sanarate,guatemala,1-division
nixon-flores,Midtfielder,guatemala,24,-,-,sanarate,guatemala,1-division
benedicto-aldana,Midtfielder,guatemala,23,-,-,sanarate,guatemala,1-division
william-fajardo,Midtfielder,guatemala,23,-,-,sanarate,guatemala,1-division
juan-lazaneo,Midtfielder,argentina,29,-,-,sanarate,guatemala,1-division
nestor-jucup,Midtfielder,guatemala,30,172,70,sanarate,guatemala,1-division
erick-villatoro,Midtfielder,guatemala,37,167,68,sanarate,guatemala,1-division
juan-carlos-silva-maya,Midtfielder,mexico,31,170,66,sanarate,guatemala,1-division
william-zapata-brand,Attacker,colombia,31,180,83,sanarate,guatemala,1-division
nicolas-martinez,Attacker,argentina,28,-,-,sanarate,guatemala,1-division
oscar-fernandez,Attacker,mexico,31,-,-,sanarate,guatemala,1-division
hristopher-robles,Attacker,guatemala,25,-,-,sanarate,guatemala,1-division
aslinn-rodas,Attacker,guatemala,27,-,-,sanarate,guatemala,1-division
kevin-elias-castellanos,Attacker,guatemala,25,-,-,sanarate,guatemala,1-division
erickson-pinzon,Attacker,guatemala,27,180,82,sanarate,guatemala,1-division
oscar-martinez,Attacker,guatemala,32,-,-,sanarate,guatemala,1-division
alvaro-garcia,Goalkeeper,uruguay,35,-,-,club-xelaju,guatemala,1-division
eleazar-estrada,Goalkeeper,guatemala,27,181,79,club-xelaju,guatemala,1-division
jose-carlos-garcia,Goalkeeper,guatemala,26,190,85,club-xelaju,guatemala,1-division
milton-leal,Defender,guatemala,37,167,61,club-xelaju,guatemala,1-division
fredy-santiago,Defender,guatemala,41,165,67,club-xelaju,guatemala,1-division
rodolfo-gonzalez,Defender,guatemala,34,173,76,club-xelaju,guatemala,1-division
manuel-ovando,Defender,guatemala,31,170,58,club-xelaju,guatemala,1-division
alexander-cifuentes,Defender,guatemala,29,182,73,club-xelaju,guatemala,1-division
manuel-moreno,Defender,guatemala,28,178,70,club-xelaju,guatemala,1-division
audy-osiel-rivera,Defender,guatemala,35,176,68,club-xelaju,guatemala,1-division
josue-pelico,Defender,guatemala,29,179,75,club-xelaju,guatemala,1-division
gonzalo-miranda,Defender,guatemala,25,-,-,club-xelaju,guatemala,1-division
iker-rodas,Defender,guatemala,25,-,-,club-xelaju,guatemala,1-division
julio-estacuy,Midtfielder,guatemala,34,165,63,club-xelaju,guatemala,1-division
kristian-guzman,Midtfielder,guatemala,33,182,61,club-xelaju,guatemala,1-division
marcos-sandoval,Midtfielder,guatemala,34,176,66,club-xelaju,guatemala,1-division
victor-matta,Midtfielder,guatemala,29,168,63,club-xelaju,guatemala,1-division
miguel-farfan,Midtfielder,guatemala,31,169,59,club-xelaju,guatemala,1-division
wilson-godoy,Midtfielder,guatemala,32,174,73,club-xelaju,guatemala,1-division
jonathan-garcia,Midtfielder,guatemala,26,187,75,club-xelaju,guatemala,1-division
brandon-de-leon,Midtfielder,guatemala,26,173,68,club-xelaju,guatemala,1-division
marcelo-tacam,Midtfielder,guatemala,26,173,68,club-xelaju,guatemala,1-division
emilio-mont,Midtfielder,guatemala,31,-,-,club-xelaju,guatemala,1-division
cesar-morales,Midtfielder,mexico,33,168,69,club-xelaju,guatemala,1-division
christian-albizures,Midtfielder,mexico,33,168,69,club-xelaju,guatemala,1-division
gonzalo-vivanco,Midtfielder,mexico,33,168,69,club-xelaju,guatemala,1-division
dario-ferreira,Midtfielder,uruguay,32,-,-,club-xelaju,guatemala,1-division
yeyson-ramos,Midtfielder,guatemala,24,168,65,club-xelaju,guatemala,1-division
juan-garcia,Midtfielder,guatemala,27,-,-,club-xelaju,guatemala,1-division
edgar-macal,Midtfielder,guatemala,28,168,60,club-xelaju,guatemala,1-division
abner-trigueros,Attacker,guatemala,31,170,68,club-xelaju,guatemala,1-division
mario-castellanos,Attacker,guatemala,37,175,75,club-xelaju,guatemala,1-division
javier-guarino,Attacker,uruguay,33,182,82,club-xelaju,guatemala,1-division
edward-santeliz,Attacker,guatemala,32,170,70,club-xelaju,guatemala,1-division
carlos-felix,Attacker,mexico,34,180,64,club-xelaju,guatemala,1-division
brayan-martinez,Attacker,mexico,29,178,67,club-xelaju,guatemala,1-division
juan-yax,Attacker,guatemala,31,-,-,club-xelaju,guatemala,1-division
christian-flores,Attacker,guatemala,31,181,72,club-xelaju,guatemala,1-division
paulo-motta,Goalkeeper,guatemala,36,182,72,csd-municipal,guatemala,1-division
jonathan-hernandez,Goalkeeper,guatemala,25,-,-,csd-municipal,guatemala,1-division
carlos-gallardo,Defender,guatemala,35,184,77,csd-municipal,guatemala,1-division
jhony-giron,Defender,guatemala,36,179,74,csd-municipal,guatemala,1-division
hector-moreira,Defender,guatemala,31,183,81,csd-municipal,guatemala,1-division
jeffrey-payeras,Defender,guatemala,26,-,-,csd-municipal,guatemala,1-division
pablo-fuentes,Defender,guatemala,25,180,63,csd-municipal,guatemala,1-division
claudio-albizuris,Defender,guatemala,38,180,67,csd-municipal,guatemala,1-division
jaime-vides,Defender,guatemala,32,174,68,csd-municipal,guatemala,1-division
pedro-julio-samayoa,Midtfielder,guatemala,34,171,71,csd-municipal,guatemala,1-division
marco-ciani,Midtfielder,guatemala,32,172,71,csd-municipal,guatemala,1-division
victor-matta,Midtfielder,paraguay,29,-,-,csd-municipal,guatemala,1-division
jaime-alas,Midtfielder,el-salvador,30,172,67,csd-municipal,guatemala,1-division
juan-barrera,Midtfielder,nicaragua,30,175,71,csd-municipal,guatemala,1-division
frank-de-leon,Midtfielder,guatemala,24,171,60,csd-municipal,guatemala,1-division
orlando-moreira-fereira,Midtfielder,paraguay,27,187,86,csd-municipal,guatemala,1-division
franklin-garcia,Midtfielder,guatemala,25,-,-,csd-municipal,guatemala,1-division
luis-de-leon,Midtfielder,guatemala,24,-,-,csd-municipal,guatemala,1-division
carlos-alvarado,Midtfielder,guatemala,24,171,68,csd-municipal,guatemala,1-division
john-mendez,Midtfielder,guatemala,20,-,-,csd-municipal,guatemala,1-division
julio-fajardo,Midtfielder,guatemala,20,-,-,csd-municipal,guatemala,1-division
rudy-barrientos,Midtfielder,guatemala,20,-,-,csd-municipal,guatemala,1-division
fernando-fuentes,Midtfielder,guatemala,20,-,-,csd-municipal,guatemala,1-division
sergio-trujillo,Midtfielder,guatemala,32,180,73,csd-municipal,guatemala,1-division
marco-rivas,Midtfielder,guatemala,28,172,63,csd-municipal,guatemala,1-division
blas-perez,Attacker,panama,38,187,83,csd-municipal,guatemala,1-division
gaston-puerari,Attacker,uruguay,33,173,70,csd-municipal,guatemala,1-division
domingo-omar-zalazar,Attacker,argentina,33,184,81,csd-municipal,guatemala,1-division
othoniel-arce,Attacker,mexico,30,-,-,csd-municipal,guatemala,1-division
edi-guerra,Attacker,guatemala,31,-,-,csd-municipal,guatemala,1-division
bryan-lemus,Attacker,guatemala,31,-,-,csd-municipal,guatemala,1-division
alejandro-diaz,Attacker,guatemala,31,-,-,csd-municipal,guatemala,1-division
jose-martinez,Attacker,guatemala,22,-,-,csd-municipal,guatemala,1-division
luis-tatuaca,Goalkeeper,guatemala,29,178,,siquinala,guatemala,1-division
ricardo-mendez,Goalkeeper,guatemala,29,174,81,siquinala,guatemala,1-division
luis-pedro-molina,Goalkeeper,guatemala,42,185,,siquinala,guatemala,1-division
cesar-garcia,Defender,mexico,29,185,74,siquinala,guatemala,1-division
brayan-morales,Defender,mexico,29,185,74,siquinala,guatemala,1-division
jose-morales,Defender,guatemala,22,-,-,siquinala,guatemala,1-division
roberto-cobar,Defender,guatemala,30,187,,siquinala,guatemala,1-division
willington-techera,Defender,uruguay,34,180,,siquinala,guatemala,1-division
julian-priego,Defender,guatemala,32,169,62,siquinala,guatemala,1-division
quiarol-arzu,Defender,honduras,34,183,77,siquinala,guatemala,1-division
fredy-ruano,Midtfielder,guatemala,29,168,69,siquinala,guatemala,1-division
juan-cardona,Midtfielder,guatemala,26,-,-,siquinala,guatemala,1-division
melbin-estrada,Midtfielder,guatemala,28,168,,siquinala,guatemala,1-division
leonardo-pineda,Midtfielder,guatemala,28,168,,siquinala,guatemala,1-division
jose-tobar,Midtfielder,el-salvador,32,-,-,siquinala,guatemala,1-division
you-kin-sun,Midtfielder,sydkorea,24,175,75,siquinala,guatemala,1-division
erick-sian,Midtfielder,sydkorea,24,175,75,siquinala,guatemala,1-division
henry-mancilla,Midtfielder,sydkorea,24,175,75,siquinala,guatemala,1-division
oliver-rodas,Midtfielder,sydkorea,24,175,75,siquinala,guatemala,1-division
jose-del-aguila,Midtfielder,guatemala,28,178,68,siquinala,guatemala,1-division
marvin-avila,Midtfielder,guatemala,33,187,73,siquinala,guatemala,1-division
david-espinoza,Midtfielder,guatemala,39,165,61,siquinala,guatemala,1-division
alex-perez,Midtfielder,guatemala,34,-,-,siquinala,guatemala,1-division
luis-rosas,Attacker,guatemala,20,-,-,siquinala,guatemala,1-division
matias-jose-guardia,Attacker,argentina,28,-,-,siquinala,guatemala,1-division
mauro-portillo,Attacker,guatemala,24,-,-,siquinala,guatemala,1-division
luis-arroyo,Attacker,mexico,29,167,,siquinala,guatemala,1-division
christopher-solano,Attacker,mexico,29,167,,siquinala,guatemala,1-division
alvaro-portero,Attacker,spanien,32,-,-,siquinala,guatemala,1-division
oscar-isaula,Attacker,guatemala,37,178,68,siquinala,guatemala,1-division
gerson-argueta,Goalkeeper,honduras,28,-,-,cd-olimpia,honduras,1-division
edrick-menjivar,Goalkeeper,honduras,26,-,-,cd-olimpia,honduras,1-division
martin-bonjour,Defender,argentina,34,186,81,cd-olimpia,honduras,1-division
johnny-palacios,Defender,honduras,32,183,74,cd-olimpia,honduras,1-division
jonathan-ferrari,Defender,argentina,32,187,77,cd-olimpia,honduras,1-division
ever-alvarado,Defender,honduras,27,179,,cd-olimpia,honduras,1-division
dennis-flores,Defender,guatemala,29,-,-,cd-olimpia,honduras,1-division
jonathan-paz,Defender,honduras,24,-,-,cd-olimpia,honduras,1-division
dabirson-castillo,Defender,honduras,23,-,-,cd-olimpia,honduras,1-division
elmer-guity,Defender,honduras,23,-,-,cd-olimpia,honduras,1-division
edgar-flores,Defender,honduras,30,-,-,cd-olimpia,honduras,1-division
elvin-oliva,Defender,honduras,22,-,-,cd-olimpia,honduras,1-division
fabio-de-souza,Defender,brasilien,39,183,,cd-olimpia,honduras,1-division
axel-gomez,Defender,honduras,19,-,-,cd-olimpia,honduras,1-division
israel-fonseca,Defender,honduras,29,179,78,cd-olimpia,honduras,1-division
wilson-palacios,Midtfielder,honduras,35,178,71,cd-olimpia,honduras,1-division
cristian-maidana,Midtfielder,argentina,32,181,74,cd-olimpia,honduras,1-division
jaime-cordoba,Midtfielder,colombia,31,182,79,cd-olimpia,honduras,1-division
misael-antonio-ruiz-nicolas,Midtfielder,honduras,32,-,-,cd-olimpia,honduras,1-division
matias-morales,Midtfielder,argentina,28,182,70,cd-olimpia,honduras,1-division
jorge-benguche,Midtfielder,honduras,23,-,-,cd-olimpia,honduras,1-division
deybi-flores,Midtfielder,honduras,23,-,-,cd-olimpia,honduras,1-division
matias-garrido,Midtfielder,argentina,33,-,-,cd-olimpia,honduras,1-division
jose-reyes,Midtfielder,honduras,22,-,-,cd-olimpia,honduras,1-division
carlos-pineda,Midtfielder,honduras,22,-,-,cd-olimpia,honduras,1-division
jorge-alvarez,Midtfielder,honduras,21,168,,cd-olimpia,honduras,1-division
edwin-rodriguez,Midtfielder,honduras,20,-,-,cd-olimpia,honduras,1-division
david-meza,Midtfielder,honduras,32,-,-,cd-olimpia,honduras,1-division
german-mejia,Midtfielder,honduras,25,-,-,cd-olimpia,honduras,1-division
jonathan-tejada,Midtfielder,honduras,25,165,64,cd-olimpia,honduras,1-division
jerry-bengtson,Attacker,honduras,32,168,65,cd-olimpia,honduras,1-division
eddie-hernandez,Attacker,honduras,28,195,82,cd-olimpia,honduras,1-division
junior-lacayo,Attacker,honduras,24,-,-,cd-olimpia,honduras,1-division
michaell-chirinos,Attacker,honduras,24,-,-,cd-olimpia,honduras,1-division
brayan-velasquez,Attacker,honduras,23,-,-,cd-olimpia,honduras,1-division
carlos-mejia,Attacker,honduras,36,-,-,cd-olimpia,honduras,1-division
celio-valladares,Goalkeeper,honduras,30,-,-,lobos-upnfm,honduras,1-division
jose-pineda,Goalkeeper,honduras,32,-,-,lobos-upnfm,honduras,1-division
jose-mendoza,Goalkeeper,honduras,30,170,70,lobos-upnfm,honduras,1-division
dilmer-gutierrez,Defender,honduras,33,-,-,lobos-upnfm,honduras,1-division
cristopher-urmeneta,Defender,honduras,25,-,-,lobos-upnfm,honduras,1-division
michael-osorio,Defender,honduras,25,-,-,lobos-upnfm,honduras,1-division
jose-angel-fiallos,Defender,honduras,23,-,-,lobos-upnfm,honduras,1-division
lazaro-yanez,Defender,honduras,23,-,-,lobos-upnfm,honduras,1-division
lesvin-medina,Defender,honduras,26,-,-,lobos-upnfm,honduras,1-division
samuel-cordova,Defender,honduras,31,-,-,lobos-upnfm,honduras,1-division
dennis-lagos,Midtfielder,honduras,31,-,-,lobos-upnfm,honduras,1-division
nissi-sauceda,Midtfielder,honduras,28,-,-,lobos-upnfm,honduras,1-division
marvin-calix,Midtfielder,honduras,27,-,-,lobos-upnfm,honduras,1-division
joshua-vargas,Midtfielder,honduras,27,-,-,lobos-upnfm,honduras,1-division
sony-fernandez,Midtfielder,honduras,24,-,-,lobos-upnfm,honduras,1-division
eduard-reyes,Midtfielder,honduras,24,-,-,lobos-upnfm,honduras,1-division
noe-enamorado,Midtfielder,honduras,23,-,-,lobos-upnfm,honduras,1-division
maycol-montero,Midtfielder,honduras,23,-,-,lobos-upnfm,honduras,1-division
edgar-vasquez,Midtfielder,honduras,20,-,-,lobos-upnfm,honduras,1-division
arnold-melendez,Midtfielder,honduras,24,-,-,lobos-upnfm,honduras,1-division
junior-padilla,Midtfielder,honduras,27,-,-,lobos-upnfm,honduras,1-division
ronald-montoya,Attacker,honduras,29,-,-,lobos-upnfm,honduras,1-division
jose-mario-pinto,Attacker,honduras,22,-,-,lobos-upnfm,honduras,1-division
hermes-castillo,Attacker,honduras,23,-,-,lobos-upnfm,honduras,1-division
kilmar-pena,Attacker,honduras,23,-,-,lobos-upnfm,honduras,1-division
ian-osorio-gordon,Attacker,honduras,34,-,-,lobos-upnfm,honduras,1-division
christian-martinez,Attacker,honduras,29,-,-,lobos-upnfm,honduras,1-division
franco-guity,Attacker,honduras,31,-,-,lobos-upnfm,honduras,1-division
victor-moncada,Attacker,honduras,29,-,-,lobos-upnfm,honduras,1-division
jairo-crisanto,Attacker,honduras,28,-,-,lobos-upnfm,honduras,1-division
yull-arzu,Goalkeeper,honduras,33,-,-,cd-real-sociedad,honduras,1-division
elmer-canales,Goalkeeper,honduras,36,-,-,cd-real-sociedad,honduras,1-division
sandro-carcamo,Goalkeeper,honduras,36,-,-,cd-real-sociedad,honduras,1-division
secundio-martinez,Defender,honduras,27,-,-,cd-real-sociedad,honduras,1-division
carlos-solorzano,Defender,honduras,35,-,-,cd-real-sociedad,honduras,1-division
jose-barralaga,Defender,honduras,24,-,-,cd-real-sociedad,honduras,1-division
harlington-gutierrez,Defender,honduras,27,-,-,cd-real-sociedad,honduras,1-division
christian-martinez,Defender,honduras,23,-,-,cd-real-sociedad,honduras,1-division
enuar-salgado,Defender,honduras,28,-,-,cd-real-sociedad,honduras,1-division
yossimar-orellana,Defender,honduras,29,-,-,cd-real-sociedad,honduras,1-division
jose-willians,Defender,honduras,36,-,-,cd-real-sociedad,honduras,1-division
cesar-zelaya,Midtfielder,honduras,34,-,-,cd-real-sociedad,honduras,1-division
elkin-reynaldo-gonzalez,Midtfielder,honduras,39,-,-,cd-real-sociedad,honduras,1-division
abner-mendez,Midtfielder,honduras,31,-,-,cd-real-sociedad,honduras,1-division
ruben-jhancarlos-matamoros,Midtfielder,honduras,37,-,-,cd-real-sociedad,honduras,1-division
kendrick-carcamo,Midtfielder,honduras,25,-,-,cd-real-sociedad,honduras,1-division
rossel-cacho,Midtfielder,honduras,25,-,-,cd-real-sociedad,honduras,1-division
rudy-green,Midtfielder,honduras,21,-,-,cd-real-sociedad,honduras,1-division
deyron-martinez,Midtfielder,honduras,21,-,-,cd-real-sociedad,honduras,1-division
danny-mejia,Midtfielder,honduras,22,-,-,cd-real-sociedad,honduras,1-division
shalton-gonzalez,Midtfielder,honduras,22,-,-,cd-real-sociedad,honduras,1-division
yimis-gonzales,Midtfielder,honduras,37,-,-,cd-real-sociedad,honduras,1-division
henry-clark,Midtfielder,honduras,34,-,-,cd-real-sociedad,honduras,1-division
robbie-matute,Midtfielder,honduras,34,-,-,cd-real-sociedad,honduras,1-division
melvin-batiz,Midtfielder,honduras,34,-,-,cd-real-sociedad,honduras,1-division
oscar-movil,Attacker,colombia,32,179,83,cd-real-sociedad,honduras,1-division
milton-ruiz,Attacker,honduras,31,-,-,cd-real-sociedad,honduras,1-division
shannon-welcome,Attacker,honduras,30,-,-,cd-real-sociedad,honduras,1-division
osman-melgares,Attacker,honduras,32,-,-,cd-real-sociedad,honduras,1-division
ozzie-bodden,Attacker,honduras,27,-,-,cd-real-sociedad,honduras,1-division
kemsie-abbott,Attacker,honduras,27,-,-,cd-real-sociedad,honduras,1-division
pablo-arzu,Attacker,honduras,29,167,60,cd-real-sociedad,honduras,1-division
mario-flores,Attacker,honduras,21,-,-,cd-real-sociedad,honduras,1-division
junior-martinez,Attacker,colombia,28,-,-,cd-real-sociedad,honduras,1-division
flavio-garcia,Attacker,honduras,28,-,-,cd-real-sociedad,honduras,1-division
jhanny-gomez,Attacker,honduras,26,-,-,cd-real-sociedad,honduras,1-division
david-alberto-carranza,Attacker,honduras,24,179,,cd-real-sociedad,honduras,1-division
roberto-riascos,Attacker,colombia,28,-,-,cd-real-sociedad,honduras,1-division
diego-rodriguez,Defender,honduras,24,-,-,real-de-minas,honduras,1-division
irvin-reyna,Defender,honduras,32,177,74,real-de-minas,honduras,1-division
jose-garcia,Defender,honduras,21,-,-,real-de-minas,honduras,1-division
israel-silva,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
oscar-padilla,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
brayan-acosta,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
alex-corrales,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
richard-martinez,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
nelson-munoz,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
julian-galo,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
darwin-andino,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
walter-orellana,Midtfielder,brasilien,38,171,70,real-de-minas,honduras,1-division
oscar-garcia,Midtfielder,honduras,29,-,-,real-de-minas,honduras,1-division
jesse-moncada,Midtfielder,honduras,29,-,-,real-de-minas,honduras,1-division
moises-lopez,Midtfielder,honduras,29,-,-,real-de-minas,honduras,1-division
sebastian-colon,Midtfielder,colombia,21,-,-,real-de-minas,honduras,1-division
luis-guzman,Midtfielder,honduras,38,-,-,real-de-minas,honduras,1-division
rembrandt-flores,Midtfielder,honduras,22,-,-,real-de-minas,honduras,1-division
evgeni-kabayev,Attacker,rusland,31,-,-,real-de-minas,honduras,1-division
jerry-palacios,Attacker,honduras,37,183,81,real-de-minas,honduras,1-division
aldo-oviedo,Attacker,honduras,29,-,-,real-de-minas,honduras,1-division
fredixon-elvir,Attacker,honduras,31,-,-,real-de-minas,honduras,1-division
juan-mejia,Attacker,honduras,31,-,-,real-de-minas,honduras,1-division
kevin-maradiaga,Attacker,honduras,25,-,-,real-de-minas,honduras,1-division
obed-enarmorado,Goalkeeper,honduras,34,183,83,cd-vida,honduras,1-division
ricardo-canales,Goalkeeper,honduras,37,181,78,cd-vida,honduras,1-division
orlin-vallecillo,Goalkeeper,honduras,36,190,,cd-vida,honduras,1-division
osar-banegas,Goalkeeper,honduras,33,-,-,cd-vida,honduras,1-division
esdras-padilla,Defender,honduras,30,-,-,cd-vida,honduras,1-division
orlin-peralta,Defender,honduras,29,170,70,cd-vida,honduras,1-division
carlos-arbizu,Defender,honduras,32,-,-,cd-vida,honduras,1-division
chestyn-onofre,Defender,honduras,27,-,-,cd-vida,honduras,1-division
carlos-perdomo,Defender,honduras,30,-,-,cd-vida,honduras,1-division
jose-yanez,Defender,honduras,28,-,-,cd-vida,honduras,1-division
jesus-canales,Defender,honduras,28,-,-,cd-vida,honduras,1-division
carlos-valle,Defender,honduras,35,-,-,cd-vida,honduras,1-division
miguel-antunez,Defender,honduras,27,-,-,cd-vida,honduras,1-division
carlos-melendez,Defender,honduras,21,-,-,cd-vida,honduras,1-division
mathias-techera,Defender,uruguay,27,-,-,cd-vida,honduras,1-division
henry-bermudez,Midtfielder,honduras,32,-,-,cd-vida,honduras,1-division
javier-portillo,Midtfielder,honduras,38,180,70,cd-vida,honduras,1-division
edgar-bardales,Midtfielder,honduras,28,-,-,cd-vida,honduras,1-division
richard-rodriguez,Midtfielder,uruguay,27,-,-,cd-vida,honduras,1-division
miguel-valerio,Midtfielder,uruguay,27,-,-,cd-vida,honduras,1-division
